#,Player,Team,Pos,ADP,PTS,GS,W,L,T/O,SO,SV,GA,SA,SV%,GAA
53,Dennis Hildeby,Lightning,G,—,123.3,25,14,8,3,1.5,607,68,675,0.899,2.72
54,Elvis Merzlikins,Blue Jackets,G,—,120.4,30,14,12,4,1.2,792,93,885,0.895,3.10
55,Ville Husso,Ducks,G,—,119.7,29,14,11,4,1.1,765,91,856,0.894,3.14
56,Stuart Skinner,Jets,G,—,118.3,26,13,10,3,1.5,631,71,702,0.899,2.73
57,Devin Cooley,Flames,G,—,117.1,29,13,12,4,1.4,756,85,841,0.899,2.93
58,Michael DiPietro,Bruins,G,—,116.6,27,13,11,3,1.3,691,79,770,0.898,2.93
59,Daniil Tarasov,Red Wings,G,—,115.9,30,13,13,4,1.3,778,92,870,0.894,3.07
60,Sebastian Cossa,Utah,G,—,111.1,24,12,9,3,1.2,602,70,672,0.897,2.92
61,Joonas Korpisalo,Rangers,G,—,111.0,25,12,10,3,1.2,627,73,700,0.896,2.92
62,Justus Annunen,Predators,G,—,110.5,24,12,9,3,1.1,625,71,696,0.898,2.96
63,Arvid Soderblom,Blackhawks,G,—,101.9,28,11,13,4,0.8,744,96,840,0.886,3.43
64,Vitek Vanecek,Islanders,G,—,97.1,25,10,11,4,0.8,678,85,763,0.889,3.40
65,Devon Levi,Oilers,G,—,78.2,10,6,3,1,0.5,257,28,285,0.902,2.80
